qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
30_R	CP024483.1	1	4881	120236	125116	0.0	8803.0	100.0	100	243634	4881	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73_R	CP024483.1	1	202	125179	125380	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51	CP024483.1	1	557	125381	125937	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
35	CP024483.1	1	3881	125938	129818	0.0	6991.0	99.948	100	243634	3881	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73_R	CP024483.1	1	202	129880	130081	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51	CP024483.1	1	557	130082	130638	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
41	CP024483.1	1	1475	130639	132113	0.0	2661.0	100.0	100	243634	1475	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
46	CP024483.1	1	1108	132114	133221	0.0	1999.0	100.0	100	243634	1108	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
79_R	CP024483.1	1	179	133222	133400	2.95e-86	324.0	100.0	100	243634	179	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
27_R	CP024483.1	1	8792	133455	142246	0.0	15856.0	100.0	100	243634	8792	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
37_R	CP024483.1	1	2061	142247	144307	0.0	3718.0	100.0	100	243634	2061	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73_R	CP024483.1	1	202	144369	144570	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51	CP024483.1	1	557	144571	145127	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
36	CP024483.1	1	2186	145128	147313	0.0	3943.0	100.0	100	243634	2186	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51_R	CP024483.1	1	557	147314	147870	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73	CP024483.1	1	202	147871	148072	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
26_R	CP024483.1	1	13480	148134	161613	0.0	24310.0	100.0	100	243634	13480	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51_R	CP024483.1	1	557	161614	162170	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73	CP024483.1	1	202	162171	162372	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
28_R	CP024483.1	1	6727	162434	169160	0.0	12128.0	99.985	100	243634	6727	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51_R	CP024483.1	1	557	169161	169717	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73	CP024483.1	1	202	169718	169919	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
50_R	CP024483.1	1	584	169954	170537	0.0	1054.0	100.0	100	243634	584	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
37	CP024483.1	1	2061	170538	172598	0.0	3718.0	100.0	100	243634	2061	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73_R	CP024483.1	1	202	172660	172861	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51	CP024483.1	1	557	172862	173418	0.0	1001.0	99.82	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
32_R	CP024483.1	1	4388	173419	177806	0.0	7914.0	100.0	100	243634	4388	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73_R	CP024483.1	1	202	177807	178008	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
51_R	CP024483.1	1	557	178009	178565	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
73	CP024483.1	1	202	178566	178767	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
15	CP024483.1	1	64708	178830	243634	0.0	116400.0	99.823	83	243634	78036	0.8292070326515967	0	94.57	230401.0	IncFII_pKP91__1_pld1
