qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned
15	NZ_CP129791.1	1	78036	30213	108334	0.0	1.405e+05	99.875	100	241161	78036	1.0
15	NZ_CP131947.1	1	78036	128704	206825	0.0	1.405e+05	99.875	100	246740	78036	1.0
15	NZ_CP141580.1	1	78036	159329	237451	0.0	1.405e+05	99.875	100	246732	78036	1.0
15	NZ_CP121142.1	1	78036	8290	86411	0.0	1.405e+05	99.873	100	247179	78036	1.0
15	NZ_CP121144.1	1	78036	27722	105843	0.0	1.405e+05	99.873	100	247179	78036	1.0
15	NZ_CP121128.1	1	78036	76823	154944	0.0	1.405e+05	99.873	100	247179	78036	1.0
15	NZ_CP121136.1	1	78036	40003	118124	0.0	1.405e+05	99.873	100	247177	78036	1.0
15	NZ_CP121138.1	1	78036	8269	86390	0.0	1.405e+05	99.873	100	247159	78036	1.0
15	NZ_CP121146.1	1	78036	125886	204007	0.0	1.405e+05	99.873	100	247173	78036	1.0
15	CP146574.1	1	78036	68827	146939	0.0	1.404e+05	99.863	100	232858	78036	1.0
15	CP119185.1	1	78036	49179	127239	0.0	1.400e+05	99.799	100	238683	78036	1.0
15	NZ_CP133845.1	1	73770	155168	229024	0.0	1.328e+05	99.863	95	229024	78036	0.9453329232661848
15	LR890452.1	1	68296	22086	90467	0.0	1.230e+05	99.860	88	228690	78036	0.8751858116766621
15	NZ_LR890565.1	1	68296	22086	90467	0.0	1.230e+05	99.860	88	228690	78036	0.8751858116766621
15	NZ_CP089384.1	1	64708	178827	243534	0.0	1.167e+05	100.000	83	243534	78036	0.8292070326515967
15	OW848817.1	1	64708	123786	188493	0.0	1.167e+05	100.000	83	188493	78036	0.8292070326515967
15	OW969871.1	1	64708	160082	224789	0.0	1.167e+05	100.000	83	224789	78036	0.8292070326515967
15	LR890401.1	1	64708	178827	243534	0.0	1.167e+05	100.000	83	243534	78036	0.8292070326515967
15	NZ_CP065168.1	1	64708	171938	236645	0.0	1.167e+05	100.000	83	236645	78036	0.8292070326515967
15	NZ_LR890385.1	1	64708	180052	244759	0.0	1.167e+05	100.000	83	244759	78036	0.8292070326515967
15	NZ_LR890203.1	1	64708	172416	237123	0.0	1.167e+05	100.000	83	237123	78036	0.8292070326515967
15	OW848970.1	1	64708	182386	247093	0.0	1.167e+05	99.998	83	247093	78036	0.8292070326515967
15	OW968351.1	1	64708	122510	187217	0.0	1.167e+05	99.998	83	187217	78036	0.8292070326515967
15	NZ_CP086468.1	1	64708	182382	247089	0.0	1.167e+05	99.997	83	247089	78036	0.8292070326515967
15	NZ_CP086465.1	1	64708	182382	247089	0.0	1.167e+05	99.997	83	247089	78036	0.8292070326515967
15	NZ_CP086462.1	1	64708	182080	246787	0.0	1.167e+05	99.997	83	246787	78036	0.8292070326515967
15	NZ_CP086459.1	1	64708	182382	247089	0.0	1.167e+05	99.997	83	247089	78036	0.8292070326515967
15	NZ_CP086456.1	1	64708	182080	246787	0.0	1.167e+05	99.997	83	246787	78036	0.8292070326515967
15	OW968035.1	1	64708	253084	317791	0.0	1.167e+05	99.997	83	317791	78036	0.8292070326515967
15	CP052441.1	1	64708	176860	241567	0.0	1.167e+05	99.997	83	241567	78036	0.8292070326515967
15	NZ_CP089386.1	1	64708	224669	289376	0.0	1.167e+05	99.995	83	289376	78036	0.8292070326515967
15	NZ_OP378652.1	1	64708	171759	236466	0.0	1.167e+05	99.994	83	236466	78036	0.8292070326515967
15	CP067952.1	1	64708	173262	237969	0.0	1.166e+05	99.969	83	237969	78036	0.8292070326515967
15	OW967030.1	1	64708	183214	247964	0.0	1.166e+05	99.927	83	247964	78036	0.8292070326515967
15	NZ_CP066535.1	1	64708	127882	192589	0.0	1.166e+05	99.958	83	192589	78036	0.8292070326515967
15	CP052499.1	68	64708	168453	233093	0.0	1.166e+05	99.997	83	233093	78036	0.8283484545594341
15	CP052506.1	68	64708	128046	192686	0.0	1.166e+05	99.997	83	192686	78036	0.8283484545594341
15	CP052586.1	68	64708	182830	247472	0.0	1.165e+05	99.989	83	247472	78036	0.8283484545594341
15	CP024500.1	1	64708	178827	243620	0.0	1.165e+05	99.852	83	243620	78036	0.8292070326515967
15	CP024516.1	1	64708	163014	227807	0.0	1.165e+05	99.852	83	227807	78036	0.8292070326515967
15	NZ_CP083791.1	1	64708	207133	271926	0.0	1.165e+05	99.852	83	271926	78036	0.8292070326515967
15	OW849326.1	1	64708	183214	248007	0.0	1.165e+05	99.852	83	248007	78036	0.8292070326515967
15	OW848869.1	1	64708	123786	188579	0.0	1.165e+05	99.852	83	188579	78036	0.8292070326515967
15	OW968042.1	1	64708	180529	245322	0.0	1.165e+05	99.852	83	245322	78036	0.8292070326515967
15	OW968121.1	1	64708	183759	248552	0.0	1.165e+05	99.852	83	248552	78036	0.8292070326515967
15	OX030699.1	1	64708	182386	247179	0.0	1.165e+05	99.852	83	247179	78036	0.8292070326515967
15	NZ_CP065164.1	1	64708	178828	243621	0.0	1.165e+05	99.852	83	243621	78036	0.8292070326515967
15	NZ_LR890370.1	1	64708	169979	234772	0.0	1.165e+05	99.852	83	234772	78036	0.8292070326515967
15	NZ_LR890231.1	1	64708	180051	244844	0.0	1.165e+05	99.852	83	244844	78036	0.8292070326515967
15	NZ_LR890392.1	1	64708	180052	244845	0.0	1.165e+05	99.852	83	244845	78036	0.8292070326515967
15	NZ_LR890205.1	1	64708	194661	259454	0.0	1.165e+05	99.852	83	259454	78036	0.8292070326515967
15	NZ_LR890191.1	1	64708	180856	245649	0.0	1.165e+05	99.852	83	245649	78036	0.8292070326515967
15	NZ_LR890572.1	1	64708	163014	227807	0.0	1.165e+05	99.852	83	227807	78036	0.8292070326515967
15	NZ_LR890485.1	1	64708	180052	244845	0.0	1.165e+05	99.852	83	244845	78036	0.8292070326515967
15	NZ_LR890416.1	1	64708	178827	243620	0.0	1.165e+05	99.852	83	243620	78036	0.8292070326515967
15	CP067949.1	1	64708	193878	258671	0.0	1.165e+05	99.850	83	258671	78036	0.8292070326515967
15	CP094884.1	1	64708	181938	246731	0.0	1.165e+05	99.850	83	246731	78036	0.8292070326515967
15	CP094886.1	1	64708	181938	246731	0.0	1.165e+05	99.850	83	246731	78036	0.8292070326515967
15	OW968284.1	1	64708	120139	184932	0.0	1.165e+05	99.850	83	184932	78036	0.8292070326515967
15	OW969704.1	1	64708	127982	192775	0.0	1.165e+05	99.850	83	192775	78036	0.8292070326515967
15	OW969754.1	1	64708	128808	193601	0.0	1.165e+05	99.850	83	193601	78036	0.8292070326515967
15	NZ_CP103636.1	1	64708	181548	246341	0.0	1.165e+05	99.850	83	246341	78036	0.8292070326515967
15	NZ_CP103700.1	1	64708	159564	224357	0.0	1.165e+05	99.850	83	224357	78036	0.8292070326515967
15	NZ_OP378663.1	1	64708	99877	164670	0.0	1.165e+05	99.850	83	164670	78036	0.8292070326515967
15	NZ_LR890723.1	1	64708	161144	225937	0.0	1.165e+05	99.850	83	225937	78036	0.8292070326515967
15	CP052243.1	1	64708	181938	246731	0.0	1.165e+05	99.850	83	246731	78036	0.8292070326515967
15	NZ_CP073628.1	1	64708	182385	247177	0.0	1.165e+05	99.850	83	247177	78036	0.8292070326515967
15	CP067676.1	1	64708	160851	225644	0.0	1.165e+05	99.849	83	225644	78036	0.8292070326515967
15	OW848863.1	1	64708	182386	247179	0.0	1.165e+05	99.849	83	247179	78036	0.8292070326515967
15	NZ_CP103587.1	1	64708	219131	283924	0.0	1.165e+05	99.849	83	283924	78036	0.8292070326515967
15	NZ_CP110144.1	1	64708	174021	238814	0.0	1.165e+05	99.849	83	238814	78036	0.8292070326515967
15	CP137924.1	1	64708	181947	246740	0.0	1.165e+05	99.849	83	246740	78036	0.8292070326515967
15	NZ_CP067256.1	1	64708	107229	172022	0.0	1.165e+05	99.847	83	172022	78036	0.8292070326515967
15	CP067661.1	1	64708	179794	244458	0.0	1.165e+05	99.910	83	244458	78036	0.8292070326515967
15	NZ_CP103677.1	1	64708	142583	207376	0.0	1.165e+05	99.847	83	207376	78036	0.8292070326515967
15	NZ_CP101836.1	1	64708	152754	217547	0.0	1.165e+05	99.847	83	217547	78036	0.8292070326515967
15	NZ_CP102688.1	1	64708	152754	217547	0.0	1.165e+05	99.847	83	217547	78036	0.8292070326515967
15	OW967950.1	1	64708	112207	176999	0.0	1.165e+05	99.847	83	176999	78036	0.8292070326515967
15	NZ_CP067371.1	1	64708	181938	246731	0.0	1.165e+05	99.846	83	246731	78036	0.8292070326515967
15	NZ_CP082043.1	1	64708	174404	239197	0.0	1.165e+05	99.844	83	239197	78036	0.8292070326515967
15	NZ_LR890344.1	1	64708	195695	260491	0.0	1.165e+05	99.844	83	260491	78036	0.8292070326515967
15	NZ_CP103698.1	1	64708	107587	172383	0.0	1.164e+05	99.838	83	172383	78036	0.8292070326515967
15	NZ_OW967375.1	1	64708	188563	253358	0.0	1.164e+05	99.836	83	253358	78036	0.8292070326515967
15	NZ_CP151001.1	1	64708	181562	246353	0.0	1.164e+05	99.836	83	246353	78036	0.8292070326515967
15	CP024483.1	1	64708	178830	243634	0.0	1.164e+05	99.823	83	243634	78036	0.8292070326515967
15	NZ_LR890375.1	1	64708	178830	243634	0.0	1.164e+05	99.823	83	243634	78036	0.8292070326515967
15	CP024508.1	1	64708	163560	228353	0.0	1.164e+05	99.809	83	228353	78036	0.8292070326515967
15	CP052148.1	68	64708	128046	192772	0.0	1.164e+05	99.849	83	192772	78036	0.8283484545594341
15	OW969649.1	1	64708	157085	221878	0.0	1.163e+05	99.807	83	221878	78036	0.8292070326515967
15	CP048381.1	1	64708	100024	164790	0.0	1.161e+05	99.773	83	164790	78036	0.8292070326515967
15	OW848990.1	1	64708	162425	227132	0.0	1.160e+05	99.768	83	227132	78036	0.8292070326515967
15	OW968148.1	1	64708	177690	242397	0.0	1.160e+05	99.768	83	242397	78036	0.8292070326515967
15	OW848909.1	1	64708	177690	242397	0.0	1.160e+05	99.767	83	242397	78036	0.8292070326515967
15	OW848958.1	1	64708	177690	242397	0.0	1.160e+05	99.764	83	242397	78036	0.8292070326515967
15	OW849024.1	1	64708	177690	242397	0.0	1.160e+05	99.760	83	242397	78036	0.8292070326515967
15	OW848947.1	1	64708	177690	242397	0.0	1.160e+05	99.760	83	242397	78036	0.8292070326515967
15	OW848933.1	1	64708	123734	188441	0.0	1.160e+05	99.751	83	188441	78036	0.8292070326515967
15	OW848940.1	1	64708	177690	242397	0.0	1.159e+05	99.733	83	242397	78036	0.8292070326515967
15	OW968001.1	1	64708	156479	221186	0.0	1.159e+05	99.725	83	221186	78036	0.8292070326515967
15	OW848922.1	1	64708	123734	188441	0.0	1.159e+05	99.722	83	188441	78036	0.8292070326515967
15	NZ_CP065173.1	1	64708	163559	228345	0.0	1.158e+05	99.633	83	228345	78036	0.8292070326515967
15	OW849017.1	1	64708	177690	242483	0.0	1.158e+05	99.619	83	242483	78036	0.8292070326515967
15	OW849071.1	1	64708	175176	239969	0.0	1.158e+05	99.614	83	239969	78036	0.8292070326515967
15	NZ_CP097416.1	1522	64708	160626	223898	0.0	1.137e+05	99.847	81	223898	78036	0.8097160284996668
15	NZ_CP097412.1	1522	64708	160626	223898	0.0	1.137e+05	99.847	81	223898	78036	0.8097160284996668
15	OX030720.1	1	61516	173532	235047	0.0	1.109e+05	99.997	79	238024	78036	0.788302834589164
15	OW968460.1	1	61516	116162	177677	0.0	1.109e+05	99.993	79	180654	78036	0.788302834589164
15	OW968217.1	1	61516	174859	236374	0.0	1.109e+05	99.992	79	239351	78036	0.788302834589164
15	NZ_CP114854.1	1	61516	140	61655	0.0	1.109e+05	99.992	79	249122	78036	0.788302834589164
15	CP067475.1	1	61516	151690	213204	0.0	1.108e+05	99.951	79	216181	78036	0.788302834589164
15	CP067449.1	1	61516	172229	233743	0.0	1.108e+05	99.937	79	236720	78036	0.788302834589164
15	NZ_CP129800.1	1	60408	180757	241164	0.0	1.089e+05	100.000	77	241164	78036	0.774104259572505
15	NZ_AP021910.1	17187	78036	15605	76490	0.0	1.088e+05	99.629	78	139376	78036	0.7797683120611
15	OW968375.1	2174	61516	430261	489603	0.0	1.070e+05	99.998	76	492580	78036	0.7604567122866369
15	OW969841.1	2174	61516	177819	237161	0.0	1.070e+05	99.998	76	240138	78036	0.7604567122866369
15	OW969920.1	2174	61516	167677	227019	0.0	1.070e+05	99.998	76	347740	78036	0.7604567122866369
15	OX030750.1	2174	61516	167313	226655	0.0	1.070e+05	99.995	76	229632	78036	0.7604567122866369
15	OX030710.1	2174	61516	179955	239297	0.0	1.070e+05	99.993	76	242274	78036	0.7604567122866369
15	OW968366.1	2174	61516	179955	239297	0.0	1.070e+05	99.990	76	242274	78036	0.7604567122866369
15	OW849227.1	5297	64708	134503	194000	0.0	1.069e+05	99.830	76	194000	78036	0.7613409195755805
15	NZ_CP097687.1	17187	78036	37611	98450	0.0	1.067e+05	98.881	78	161025	78036	0.7797683120611
15	CP110771.1	17187	78036	111021	171887	0.0	1.066e+05	98.849	78	263601	78036	0.7797683120611
15	NZ_CP089881.1	17187	78036	79732	140598	0.0	1.066e+05	98.849	78	253878	78036	0.7797683120611
15	NZ_CP101547.1	17187	78036	81470	142336	0.0	1.066e+05	98.842	78	255261	78036	0.7797683120611
15	NZ_CP051491.1	17187	78036	72333	133191	0.0	1.066e+05	98.831	78	222864	78036	0.7797683120611
15	NZ_CP076107.1	17187	78036	74109	134880	0.0	1.061e+05	98.637	78	241766	78036	0.7797683120611
15	NZ_LR890680.1	1	58170	178830	236999	0.0	1.049e+05	100.000	75	243460	78036	0.7454251883745964
15	OW968268.1	4327	61516	165983	223172	0.0	1.031e+05	99.995	73	226149	78036	0.7328668819519196
15	CP155720.1	23915	78036	1	54165	0.0	97485	99.906	100	247964	78036	0.6935516940899072
15	CP155720.1	1	23914	224051	247964	0.0	43127	100.000	100	247964	78036	0.30644830591009276
15	NZ_CP090390.1	1	52272	183211	235482	0.0	94266	100.000	67	256194	78036	0.6698446870675073
15	NZ_CP090394.1	1	52272	176972	229243	0.0	94266	100.000	67	249955	78036	0.6698446870675073
15	NZ_LR890711.1	17187	64708	166847	214404	0.0	84818	99.544	61	214404	78036	0.6089753447126967
15	CP052176.1	17187	64708	170439	217996	0.0	84804	99.538	61	217996	78036	0.6089753447126967
15	NZ_CP124695.1	17187	64708	119304	166857	0.0	84496	99.401	61	166857	78036	0.6089753447126967
15	OW969803.1	17488	64708	141040	188246	0.0	83000	98.986	61	188246	78036	0.6051181505971602
15	MG764551.1	17187	64708	223716	271255	0.0	82624	98.537	61	271255	78036	0.6089753447126967
15	NZ_CP052762.1	17187	64708	225203	272742	0.0	82624	98.537	61	272742	78036	0.6089753447126967
15	NZ_CP066519.1	17187	64708	180537	228076	0.0	82624	98.537	61	228076	78036	0.6089753447126967
15	CP052279.1	17187	64708	206339	253878	0.0	82624	98.537	61	253878	78036	0.6089753447126967
15	CP052173.1	17187	64708	226175	273714	0.0	82624	98.537	61	273714	78036	0.6089753447126967
15	CP052266.1	17187	64708	191972	239511	0.0	82624	98.537	61	239511	78036	0.6089753447126967
15	CP052523.1	17187	64708	190809	238348	0.0	82624	98.537	61	238348	78036	0.6089753447126967
15	CP052380.1	17187	64708	185557	233096	0.0	82624	98.537	61	233096	78036	0.6089753447126967
15	CP052521.1	17187	64708	190809	238348	0.0	82624	98.537	61	238348	78036	0.6089753447126967
15	CP052504.1	17187	64708	190616	238155	0.0	82624	98.537	61	238155	78036	0.6089753447126967
15	CP052137.1	17187	64708	186599	234138	0.0	82624	98.537	61	234138	78036	0.6089753447126967
15	NZ_AP024573.1	17187	64708	172536	220075	0.0	82619	98.535	61	220075	78036	0.6089753447126967
15	NZ_AP024580.1	17187	64708	172536	220075	0.0	82619	98.535	61	220075	78036	0.6089753447126967
15	NZ_AP024569.1	17187	64708	172536	220075	0.0	82619	98.535	61	220075	78036	0.6089753447126967
15	NZ_AP024571.1	17187	64708	172536	220075	0.0	82619	98.535	61	220075	78036	0.6089753447126967
15	NZ_AP024577.1	17187	64708	172536	220075	0.0	82619	98.535	61	220075	78036	0.6089753447126967
15	NZ_LR890617.1	17187	64708	221504	269043	0.0	82619	98.535	61	269043	78036	0.6089753447126967
15	CP052545.1	17187	64708	185402	232941	0.0	82619	98.535	61	232941	78036	0.6089753447126967
15	CP052570.1	17187	64708	217384	264923	0.0	82619	98.535	61	264923	78036	0.6089753447126967
15	CP052302.1	17187	64708	197946	245485	0.0	82615	98.532	61	245485	78036	0.6089753447126967
15	CP052296.1	17187	64708	186708	234247	0.0	82615	98.532	61	234247	78036	0.6089753447126967
15	CP052450.1	17187	64708	187643	235182	0.0	82606	98.528	61	235182	78036	0.6089753447126967
15	NZ_CP036307.1	17187	64708	181944	229483	0.0	82592	98.522	61	229483	78036	0.6089753447126967
15	CP038004.1	17187	64708	181167	228706	0.0	82552	98.503	61	228706	78036	0.6089753447126967
15	NZ_CP087646.1	17187	64708	225751	273290	0.0	82538	98.497	61	273290	78036	0.6089753447126967
15	NZ_CP087607.1	17187	64708	163034	210574	0.0	82455	98.457	61	210574	78036	0.6089753447126967
15	CP052534.1	17187	64708	209065	256604	0.0	82453	98.457	61	256604	78036	0.6089753447126967
15	NZ_CP091757.1	1	45684	127371	173054	0.0	82350	99.982	59	298935	78036	0.5854221128709827
15	NZ_CP050349.1	19307	64708	175364	220761	0.0	79419	98.802	58	220761	78036	0.5818083961248655
15	NZ_CP118406.1	17187	61516	169380	213745	0.0	79043	99.502	57	216722	78036	0.568071146650264
15	NZ_CP066530.1	17187	61516	176020	220367	0.0	76863	98.429	57	223344	78036	0.568071146650264
15	NZ_LR890736.1	1	42275	177653	219929	0.0	76230	99.995	54	225088	78036	0.5417371469578144
15	NZ_MF156696.1	17187	61516	197318	241645	0.0	75082	97.569	57	244622	78036	0.568071146650264
15	NZ_CP129695.1	1	41241	3868	45108	0.0	74360	99.993	99	211876	78036	0.5284868522220514
15	NZ_CP129695.1	41526	78036	46329	82925	0.0	65612	99.727	99	211876	78036	0.4678738018350505
15	NZ_CP065462.1	1	40356	49504	89860	0.0	72771	99.998	100	195964	78036	0.5171459326464709
15	NZ_CP065462.1	40357	78036	91772	129537	0.0	67729	99.741	100	195964	78036	0.48285406735352915
15	CP048413.1	17187	59562	88142	130539	0.0	72754	98.055	54	265871	78036	0.5430314213952535
15	OW848846.1	1	38317	160398	198714	0.0	69091	99.995	83	225970	78036	0.491016966528269
15	OW848846.1	38309	64708	199483	225970	0.0	47352	99.600	83	225970	78036	0.3383053975088421
15	OW969762.1	27135	64708	198971	236630	0.0	67299	99.599	48	236630	78036	0.4814957199241376
15	NZ_CP089961.1	40661	78036	162515	199976	0.0	67158	99.725	78	219770	78036	0.47895842944282124
15	NZ_CP089961.1	17187	40671	137976	161459	0.0	41622	99.310	78	219770	78036	0.3009508432005741
15	NZ_CP122462.1	5400	44140	125421	164155	0.0	63443	96.334	50	175206	78036	0.4964503562458353
15	NZ_CP028954.1	43457	78036	66548	101128	0.0	62314	99.971	78	214704	78036	0.44312881234302115
15	NZ_CP028954.1	17187	44243	30233	57288	0.0	48009	99.357	78	214704	78036	0.34672458865139166
15	NZ_CP029724.1	43457	78036	4515	39095	0.0	62314	99.971	78	178561	78036	0.44312881234302115
15	NZ_CP029724.1	17187	44243	146761	173816	0.0	48009	99.357	78	178561	78036	0.34672458865139166
15	NZ_CP016810.1	43457	78036	233507	268087	0.0	62314	99.971	76	307743	78036	0.44312881234302115
15	NZ_KX636095.1	43457	78036	298354	332935	0.0	62240	99.928	78	335317	78036	0.44312881234302115
