qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered
26_R	CP024483.1	1	13480	148134	161613	0.0	24310.0	100.0	100	243634	13480	1.0	0	94.57	230401.0
51_R	CP024483.1	1	557	161614	162170	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0
73	CP024483.1	1	202	162171	162372	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0
28_R	CP024483.1	1	6727	162434	169160	0.0	12128.0	99.985	100	243634	6727	1.0	0	94.57	230401.0
51_R	CP024483.1	1	557	169161	169717	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0
73	CP024483.1	1	202	169718	169919	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0
50_R	CP024483.1	1	584	169954	170537	0.0	1054.0	100.0	100	243634	584	1.0	0	94.57	230401.0
37	CP024483.1	1	2061	170538	172598	0.0	3718.0	100.0	100	243634	2061	1.0	0	94.57	230401.0
73_R	CP024483.1	1	202	172660	172861	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0
51	CP024483.1	1	557	172862	173418	0.0	1001.0	99.82	100	243634	557	1.0	0	94.57	230401.0
32_R	CP024483.1	1	4388	173419	177806	0.0	7914.0	100.0	100	243634	4388	1.0	0	94.57	230401.0
73_R	CP024483.1	1	202	177807	178008	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0
51_R	CP024483.1	1	557	178009	178565	0.0	1005.0	100.0	100	243634	557	1.0	0	94.57	230401.0
73	CP024483.1	1	202	178566	178767	1.11e-98	365.0	100.0	100	243634	202	1.0	0	94.57	230401.0
15	CP024483.1	1	64708	178830	243634	0.0	116400.0	99.823	83	243634	78036	0.8292070326515967	0	94.57	230401.0
58_R	CP024500.1	1	372	4886	5257	0.0	672.0	100.0	100	243620	372	1.0	0	94.57	230387.0
56_R	CP024500.1	2	417	5259	5674	0.0	746.0	99.76	100	243620	418	0.9952153110047848	0	94.57	230387.0
82_R	CP024500.1	1	163	5676	5838	1.28e-77	295.0	100.0	100	243620	163	1.0	0	94.57	230387.0
53	CP024500.1	1	438	13392	13829	0.0	791.0	100.0	100	243620	438	1.0	0	94.57	230387.0
65_R	CP024500.1	1	267	13830	14096	7.959999999999996e-134	482.0	100.0	100	243620	267	1.0	0	94.57	230387.0
42_R	CP024500.1	1	1432	14097	15528	0.0	2583.0	100.0	100	243620	1432	1.0	0	94.57	230387.0
53_R	CP024500.1	1	438	15529	15966	0.0	791.0	100.0	100	243620	438	1.0	0	94.57	230387.0
19	CP024500.1	1	38393	15967	54359	0.0	69238.0	100.0	100	243620	38393	1.0	0	94.57	230387.0
38	CP024500.1	1	2030	54360	56389	0.0	3662.0	100.0	100	243620	2030	1.0	0	94.57	230387.0
22_R	CP024500.1	1	21725	56390	78114	0.0	39179.0	100.0	100	243620	21725	1.0	0	94.57	230387.0
46	CP024500.1	1	1108	78156	79263	0.0	1999.0	100.0	100	243620	1108	1.0	0	94.57	230387.0
79_R	CP024500.1	1	179	79264	79442	2.95e-86	324.0	100.0	100	243620	179	1.0	0	94.57	230387.0
23	CP024500.1	1	19616	79504	99119	0.0	35376.0	100.0	100	243620	19616	1.0	0	94.57	230387.0
79	CP024500.1	1	179	99181	99359	2.95e-86	324.0	100.0	100	243620	179	1.0	0	94.57	230387.0
46_R	CP024500.1	1	1108	99360	100467	0.0	1999.0	100.0	100	243620	1108	1.0	0	94.57	230387.0
24_R	CP024500.1	1	17994	100509	118502	0.0	32451.0	100.0	100	243620	17994	1.0	0	94.57	230387.0
58_R	CP024500.1	1	372	118503	118874	0.0	672.0	100.0	100	243620	372	1.0	0	94.57	230387.0
56_R	CP024500.1	1	418	118875	119292	0.0	755.0	100.0	100	243620	418	1.0	0	94.57	230387.0
82_R	CP024500.1	1	163	119293	119455	1.28e-77	295.0	100.0	100	243620	163	1.0	0	94.57	230387.0
65	CP024500.1	1	267	119456	119722	7.959999999999996e-134	482.0	100.0	100	243620	267	1.0	0	94.57	230387.0
53_R	CP024500.1	1	438	119723	120160	0.0	791.0	100.0	100	243620	438	1.0	0	94.57	230387.0
30_R	CP024500.1	1	4881	120233	125113	0.0	8803.0	100.0	100	243620	4881	1.0	0	94.57	230387.0
73_R	CP024500.1	1	202	125176	125377	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
51	CP024500.1	1	557	125378	125934	0.0	1005.0	100.0	100	243620	557	1.0	0	94.57	230387.0
35	CP024500.1	1	3881	125935	129815	0.0	7000.0	100.0	100	243620	3881	1.0	0	94.57	230387.0
73_R	CP024500.1	1	202	129877	130078	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
51	CP024500.1	1	557	130079	130635	0.0	1005.0	100.0	100	243620	557	1.0	0	94.57	230387.0
41	CP024500.1	1	1475	130636	132110	0.0	2661.0	100.0	100	243620	1475	1.0	0	94.57	230387.0
46	CP024500.1	1	1108	132111	133218	0.0	1999.0	100.0	100	243620	1108	1.0	0	94.57	230387.0
79_R	CP024500.1	1	179	133219	133397	2.95e-86	324.0	100.0	100	243620	179	1.0	0	94.57	230387.0
27_R	CP024500.1	1	8792	133452	142243	0.0	15856.0	100.0	100	243620	8792	1.0	0	94.57	230387.0
37_R	CP024500.1	1	2061	142244	144304	0.0	3718.0	100.0	100	243620	2061	1.0	0	94.57	230387.0
73_R	CP024500.1	1	202	144366	144567	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
51	CP024500.1	1	557	144568	145124	0.0	1005.0	100.0	100	243620	557	1.0	0	94.57	230387.0
36	CP024500.1	1	2186	145125	147310	0.0	3943.0	100.0	100	243620	2186	1.0	0	94.57	230387.0
51_R	CP024500.1	1	557	147311	147867	0.0	1005.0	100.0	100	243620	557	1.0	0	94.57	230387.0
73	CP024500.1	1	202	147868	148069	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
26_R	CP024500.1	1	13480	148131	161610	0.0	24310.0	100.0	100	243620	13480	1.0	0	94.57	230387.0
51_R	CP024500.1	1	557	161611	162167	0.0	1005.0	100.0	100	243620	557	1.0	0	94.57	230387.0
73	CP024500.1	1	202	162168	162369	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
28_R	CP024500.1	1	6727	162431	169157	0.0	12132.0	100.0	100	243620	6727	1.0	0	94.57	230387.0
51_R	CP024500.1	1	557	169158	169714	0.0	1005.0	100.0	100	243620	557	1.0	0	94.57	230387.0
73	CP024500.1	1	202	169715	169916	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
50_R	CP024500.1	1	584	169951	170534	0.0	1054.0	100.0	100	243620	584	1.0	0	94.57	230387.0
37	CP024500.1	1	2061	170535	172595	0.0	3718.0	100.0	100	243620	2061	1.0	0	94.57	230387.0
73_R	CP024500.1	1	202	172657	172858	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
51	CP024500.1	1	557	172859	173415	0.0	1001.0	99.82	100	243620	557	1.0	0	94.57	230387.0
32_R	CP024500.1	1	4388	173416	177803	0.0	7914.0	100.0	100	243620	4388	1.0	0	94.57	230387.0
73_R	CP024500.1	1	202	177804	178005	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
51_R	CP024500.1	1	557	178006	178562	0.0	1005.0	100.0	100	243620	557	1.0	0	94.57	230387.0
73	CP024500.1	1	202	178563	178764	1.11e-98	365.0	100.0	100	243620	202	1.0	0	94.57	230387.0
15	CP024500.1	1	64708	178827	243620	0.0	116500.0	99.852	83	243620	78036	0.8292070326515967	0	94.57	230387.0
34	CP024502.1	2800	4064	1	1265	0.0	2282.0	100.0	100	4064	4064	1.0	0	100.0	4064.0
34	CP024502.1	1	2799	1266	4064	0.0	5048.0	100.0	100	4064	4064	1.0	0	100.0	4064.0
58_R	CP024508.1	1	372	4886	5257	0.0	672.0	100.0	100	228353	372	1.0	0	90.12	205785.0
56_R	CP024508.1	2	417	5259	5674	0.0	746.0	99.76	100	228353	418	0.9952153110047848	0	90.12	205785.0
82_R	CP024508.1	1	163	5676	5838	1.28e-77	295.0	100.0	100	228353	163	1.0	0	90.12	205785.0
53	CP024508.1	1	438	13392	13829	0.0	791.0	100.0	100	228353	438	1.0	0	90.12	205785.0
65_R	CP024508.1	1	267	13830	14096	7.959999999999996e-134	482.0	100.0	100	228353	267	1.0	0	90.12	205785.0
42_R	CP024508.1	1	1432	14097	15528	0.0	2583.0	100.0	100	228353	1432	1.0	0	90.12	205785.0
53_R	CP024508.1	1	438	15529	15966	0.0	791.0	100.0	100	228353	438	1.0	0	90.12	205785.0
19	CP024508.1	1	38393	15967	54359	0.0	69238.0	100.0	100	228353	38393	1.0	0	90.12	205785.0
38	CP024508.1	9	2030	56651	58672	0.0	3625.0	99.753	99	228353	2030	0.9960591133004926	0	90.12	205785.0
22_R	CP024508.1	1	21725	58673	80397	0.0	39179.0	100.0	100	228353	21725	1.0	0	90.12	205785.0
46	CP024508.1	1	1108	80439	81546	0.0	1999.0	100.0	100	228353	1108	1.0	0	90.12	205785.0
79_R	CP024508.1	1	179	81547	81725	2.95e-86	324.0	100.0	100	228353	179	1.0	0	90.12	205785.0
23	CP024508.1	1	19616	81787	101402	0.0	35376.0	100.0	100	228353	19616	1.0	0	90.12	205785.0
79	CP024508.1	1	179	101464	101642	2.95e-86	324.0	100.0	100	228353	179	1.0	0	90.12	205785.0
46_R	CP024508.1	1	1108	101643	102750	0.0	1999.0	100.0	100	228353	1108	1.0	0	90.12	205785.0
24_R	CP024508.1	1	17994	102792	120785	0.0	32451.0	100.0	100	228353	17994	1.0	0	90.12	205785.0
58_R	CP024508.1	1	372	120786	121157	0.0	672.0	100.0	100	228353	372	1.0	0	90.12	205785.0
56_R	CP024508.1	1	418	121158	121575	0.0	755.0	100.0	100	228353	418	1.0	0	90.12	205785.0
82_R	CP024508.1	1	163	121576	121738	1.28e-77	295.0	100.0	100	228353	163	1.0	0	90.12	205785.0
65	CP024508.1	1	267	121739	122005	7.959999999999996e-134	482.0	100.0	100	228353	267	1.0	0	90.12	205785.0
53_R	CP024508.1	1	438	122006	122443	0.0	791.0	100.0	100	228353	438	1.0	0	90.12	205785.0
30_R	CP024508.1	1	4881	122516	127396	0.0	8803.0	100.0	100	228353	4881	1.0	0	90.12	205785.0
73_R	CP024508.1	1	202	127459	127660	1.11e-98	365.0	100.0	100	228353	202	1.0	0	90.12	205785.0
51	CP024508.1	1	557	127661	128217	0.0	1005.0	100.0	100	228353	557	1.0	0	90.12	205785.0
35	CP024508.1	1	3881	128218	132098	0.0	6995.0	99.974	100	228353	3881	1.0	0	90.12	205785.0
73_R	CP024508.1	1	202	132160	132361	1.11e-98	365.0	100.0	100	228353	202	1.0	0	90.12	205785.0
51	CP024508.1	1	557	132362	132918	0.0	1005.0	100.0	100	228353	557	1.0	0	90.12	205785.0
41	CP024508.1	1	1475	132919	134393	0.0	2661.0	100.0	100	228353	1475	1.0	0	90.12	205785.0
46	CP024508.1	1	1108	134394	135501	0.0	1999.0	100.0	100	228353	1108	1.0	0	90.12	205785.0
79_R	CP024508.1	1	179	135502	135680	2.95e-86	324.0	100.0	100	228353	179	1.0	0	90.12	205785.0
27_R	CP024508.1	1	8792	135735	144526	0.0	15856.0	100.0	100	228353	8792	1.0	0	90.12	205785.0
37_R	CP024508.1	1	2061	144527	146587	0.0	3718.0	100.0	100	228353	2061	1.0	0	90.12	205785.0
50	CP024508.1	1	584	146588	147171	0.0	1054.0	100.0	100	228353	584	1.0	0	90.12	205785.0
73_R	CP024508.1	1	202	147206	147407	1.11e-98	365.0	100.0	100	228353	202	1.0	0	90.12	205785.0
51	CP024508.1	1	557	147408	147964	0.0	1005.0	100.0	100	228353	557	1.0	0	90.12	205785.0
28	CP024508.1	1	6727	147965	154691	0.0	12132.0	100.0	100	228353	6727	1.0	0	90.12	205785.0
73_R	CP024508.1	1	202	154753	154954	1.11e-98	365.0	100.0	100	228353	202	1.0	0	90.12	205785.0
51	CP024508.1	1	557	154955	155511	0.0	1005.0	100.0	100	228353	557	1.0	0	90.12	205785.0
51_R	CP024508.1	1	557	162739	163295	0.0	1005.0	100.0	100	228353	557	1.0	0	90.12	205785.0
73	CP024508.1	1	202	163296	163497	1.11e-98	365.0	100.0	100	228353	202	1.0	0	90.12	205785.0
15	CP024508.1	1	64708	163560	228353	0.0	116400.0	99.809	83	228353	78036	0.8292070326515967	0	90.12	205785.0
58_R	CP024516.1	1	372	4886	5257	0.0	672.0	100.0	100	227807	372	1.0	0	93.4	212767.0
56_R	CP024516.1	2	417	5259	5674	0.0	746.0	99.76	100	227807	418	0.9952153110047848	0	93.4	212767.0
82_R	CP024516.1	1	163	5676	5838	1.28e-77	295.0	100.0	100	227807	163	1.0	0	93.4	212767.0
53	CP024516.1	1	438	13392	13829	0.0	791.0	100.0	100	227807	438	1.0	0	93.4	212767.0
65_R	CP024516.1	1	267	13830	14096	7.959999999999996e-134	482.0	100.0	100	227807	267	1.0	0	93.4	212767.0
42_R	CP024516.1	1	1432	14097	15528	0.0	2583.0	100.0	100	227807	1432	1.0	0	93.4	212767.0
53_R	CP024516.1	1	438	15529	15966	0.0	791.0	100.0	100	227807	438	1.0	0	93.4	212767.0
19	CP024516.1	1	38393	15967	54359	0.0	69238.0	100.0	100	227807	38393	1.0	0	93.4	212767.0
38	CP024516.1	1	2030	54360	56389	0.0	3662.0	100.0	100	227807	2030	1.0	0	93.4	212767.0
22_R	CP024516.1	1	21725	56390	78114	0.0	39179.0	100.0	100	227807	21725	1.0	0	93.4	212767.0
46	CP024516.1	1	1108	78156	79263	0.0	1999.0	100.0	100	227807	1108	1.0	0	93.4	212767.0
79_R	CP024516.1	1	179	79264	79442	2.95e-86	324.0	100.0	100	227807	179	1.0	0	93.4	212767.0
23	CP024516.1	1	19616	79504	99119	0.0	35376.0	100.0	100	227807	19616	1.0	0	93.4	212767.0
79	CP024516.1	1	179	99181	99359	2.95e-86	324.0	100.0	100	227807	179	1.0	0	93.4	212767.0
46_R	CP024516.1	1	1108	99360	100467	0.0	1999.0	100.0	100	227807	1108	1.0	0	93.4	212767.0
24_R	CP024516.1	1	17994	100509	118502	0.0	32451.0	100.0	100	227807	17994	1.0	0	93.4	212767.0
58_R	CP024516.1	1	372	118503	118874	0.0	672.0	100.0	100	227807	372	1.0	0	93.4	212767.0
56_R	CP024516.1	1	418	118875	119292	0.0	755.0	100.0	100	227807	418	1.0	0	93.4	212767.0
82_R	CP024516.1	1	163	119293	119455	1.28e-77	295.0	100.0	100	227807	163	1.0	0	93.4	212767.0
65	CP024516.1	1	267	119456	119722	7.959999999999996e-134	482.0	100.0	100	227807	267	1.0	0	93.4	212767.0
53_R	CP024516.1	1	438	119723	120160	0.0	791.0	100.0	100	227807	438	1.0	0	93.4	212767.0
30_R	CP024516.1	1	4881	120233	125113	0.0	8803.0	100.0	100	227807	4881	1.0	0	93.4	212767.0
73_R	CP024516.1	1	202	125176	125377	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
51	CP024516.1	1	557	125378	125934	0.0	1005.0	100.0	100	227807	557	1.0	0	93.4	212767.0
35	CP024516.1	1	3881	125935	129815	0.0	7000.0	100.0	100	227807	3881	1.0	0	93.4	212767.0
73_R	CP024516.1	1	202	129877	130078	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
51	CP024516.1	1	557	130079	130635	0.0	1005.0	100.0	100	227807	557	1.0	0	93.4	212767.0
41	CP024516.1	1	1475	130636	132110	0.0	2661.0	100.0	100	227807	1475	1.0	0	93.4	212767.0
46	CP024516.1	1	1108	132111	133218	0.0	1999.0	100.0	100	227807	1108	1.0	0	93.4	212767.0
79_R	CP024516.1	1	179	133219	133397	2.95e-86	324.0	100.0	100	227807	179	1.0	0	93.4	212767.0
27_R	CP024516.1	1	8792	133452	142243	0.0	15856.0	100.0	100	227807	8792	1.0	0	93.4	212767.0
37_R	CP024516.1	1	2061	142244	144304	0.0	3718.0	100.0	100	227807	2061	1.0	0	93.4	212767.0
50	CP024516.1	1	584	144305	144888	0.0	1054.0	100.0	100	227807	584	1.0	0	93.4	212767.0
73_R	CP024516.1	1	202	144923	145124	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
51	CP024516.1	1	557	145125	145681	0.0	1005.0	100.0	100	227807	557	1.0	0	93.4	212767.0
28	CP024516.1	1	6727	145682	152408	0.0	12132.0	100.0	100	227807	6727	1.0	0	93.4	212767.0
73_R	CP024516.1	1	202	152470	152671	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
51	CP024516.1	1	557	152672	153228	0.0	1005.0	100.0	100	227807	557	1.0	0	93.4	212767.0
73	CP024516.1	1	202	153631	153832	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
37	CP024516.1	1	2061	153894	155954	0.0	3718.0	100.0	100	227807	2061	1.0	0	93.4	212767.0
73_R	CP024516.1	1	202	156016	156217	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
51	CP024516.1	1	557	156218	156774	0.0	1001.0	99.82	100	227807	557	1.0	0	93.4	212767.0
51_R	CP024516.1	1	557	158180	158736	0.0	1001.0	99.82	100	227807	557	1.0	0	93.4	212767.0
73	CP024516.1	1	202	158737	158938	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
32_R	CP024516.1	1398	4388	159000	161990	0.0	5395.0	100.0	100	227807	4388	0.6816317228805834	0	93.4	212767.0
73_R	CP024516.1	1	202	161991	162192	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
51_R	CP024516.1	1	557	162193	162749	0.0	1005.0	100.0	100	227807	557	1.0	0	93.4	212767.0
73	CP024516.1	1	202	162750	162951	1.11e-98	365.0	100.0	100	227807	202	1.0	0	93.4	212767.0
15	CP024516.1	1	64708	163014	227807	0.0	116500.0	99.852	83	227807	78036	0.8292070326515967	0	93.4	212767.0
34	CP024518.1	1	4001	64	4064	0.0	7216.0	100.0	98	4064	4064	0.984498031496063	0	98.45	4001.0
56_R	CP052148.1	2	417	5259	5674	0.0	746.0	99.76	99	192772	418	0.9952153110047848	0	82.28	158618.0
42_R	CP052148.1	1	1432	14097	15528	0.0	2583.0	100.0	100	192772	1432	1.0	0	82.28	158618.0
19	CP052148.1	1	34901	15967	50867	0.0	62703.0	99.848	91	192772	38393	0.9090459198291356	0	82.28	158618.0
38	CP052148.1	1	2030	54498	56527	0.0	3644.0	99.803	100	192772	2030	1.0	0	82.28	158618.0
22_R	CP052148.1	1	21725	56528	78252	0.0	39179.0	100.0	100	192772	21725	1.0	0	82.28	158618.0
27_R	CP052148.1	1	8792	79635	88426	0.0	15851.0	99.989	100	192772	8792	1.0	0	82.28	158618.0
28	CP052148.1	1	6727	91865	98591	0.0	12132.0	100.0	100	192772	6727	1.0	0	82.28	158618.0
26	CP052148.1	1	13480	99412	112891	0.0	24310.0	100.0	100	192772	13480	1.0	0	82.28	158618.0
32_R	CP052148.1	1	4388	123019	127406	0.0	7914.0	100.0	100	192772	4388	1.0	0	82.28	158618.0
15	CP052148.1	68	64708	128046	192772	0.0	116400.0	99.849	83	192772	78036	0.8283484545594341	0	82.28	158618.0
56_R	CP052243.1	1	417	5258	5674	0.0	748.0	99.76	100	246731	418	0.9976076555023924	0	83.1	205029.0
42_R	CP052243.1	1	1432	14097	15528	0.0	2583.0	100.0	100	246731	1432	1.0	0	83.1	205029.0
19	CP052243.1	1	34901	15967	50867	0.0	62703.0	99.848	91	246731	38393	0.9090459198291356	0	83.1	205029.0
38	CP052243.1	1	2030	54498	56527	0.0	3644.0	99.803	100	246731	2030	1.0	0	83.1	205029.0
22_R	CP052243.1	1	21725	56528	78252	0.0	39179.0	100.0	100	246731	21725	1.0	0	83.1	205029.0
23	CP052243.1	1	19616	79642	99257	0.0	35371.0	99.995	100	246731	19616	1.0	0	83.1	205029.0
24_R	CP052243.1	1	17994	100647	118641	0.0	32350.0	99.878	100	246731	17994	1.0	0	83.1	205029.0
56_R	CP052243.1	1	418	119014	119431	0.0	750.0	99.761	100	246731	418	1.0	0	83.1	205029.0
30_R	CP052243.1	1	4881	120372	125252	0.0	8803.0	100.0	100	246731	4881	1.0	0	83.1	205029.0
35	CP052243.1	1	3881	126074	129954	0.0	7000.0	100.0	100	246731	3881	1.0	0	83.1	205029.0
27_R	CP052243.1	1	8792	133591	142382	0.0	15856.0	100.0	100	246731	8792	1.0	0	83.1	205029.0
28	CP052243.1	1	6727	145821	152547	0.0	12132.0	100.0	100	246731	6727	1.0	0	83.1	205029.0
26_R	CP052243.1	1	13407	159794	173200	0.0	24179.0	100.0	99	246731	13480	0.9945845697329376	0	83.1	205029.0
32_R	CP052243.1	376	4388	176902	180914	0.0	7238.0	100.0	91	246731	4388	0.9145396536007292	0	83.1	205029.0
15	CP052243.1	1	64708	181938	246731	0.0	116500.0	99.85	83	246731	78036	0.8292070326515967	0	83.1	205029.0
56_R	CP052441.1	1	417	5258	5674	0.0	753.0	100.0	100	241567	418	0.9976076555023924	0	82.74	199872.0
42_R	CP052441.1	1	1432	14097	15528	0.0	2583.0	100.0	100	241567	1432	1.0	0	82.74	199872.0
19	CP052441.1	1	34901	15967	50867	0.0	62703.0	99.848	91	241567	38393	0.9090459198291356	0	82.74	199872.0
38	CP052441.1	1	2030	54498	56527	0.0	3644.0	99.803	100	241567	2030	1.0	0	82.74	199872.0
22_R	CP052441.1	1	21725	56528	78252	0.0	39179.0	100.0	100	241567	21725	1.0	0	82.74	199872.0
23	CP052441.1	1	19616	79642	99257	0.0	35376.0	100.0	100	241567	19616	1.0	0	82.74	199872.0
24_R	CP052441.1	1	17994	100647	118641	0.0	32444.0	99.994	100	241567	17994	1.0	0	82.74	199872.0
56_R	CP052441.1	1	418	119014	119431	0.0	755.0	100.0	100	241567	418	1.0	0	82.74	199872.0
30_R	CP052441.1	1	4881	120372	125252	0.0	8803.0	100.0	100	241567	4881	1.0	0	82.74	199872.0
35	CP052441.1	1	3881	126074	129954	0.0	7000.0	100.0	100	241567	3881	1.0	0	82.74	199872.0
27_R	CP052441.1	1	8792	133591	142382	0.0	15856.0	100.0	100	241567	8792	1.0	0	82.74	199872.0
28	CP052441.1	1	6727	145821	152547	0.0	12128.0	99.985	100	241567	6727	1.0	0	82.74	199872.0
26	CP052441.1	51	8011	153364	161324	0.0	14348.0	99.975	59	241567	13480	0.5905786350148368	0	82.74	199872.0
32_R	CP052441.1	1	4388	171449	175836	0.0	7914.0	100.0	100	241567	4388	1.0	0	82.74	199872.0
15	CP052441.1	1	64708	176860	241567	0.0	116700.0	99.997	83	241567	78036	0.8292070326515967	0	82.74	199872.0
56_R	CP052499.1	1	417	5258	5674	0.0	753.0	100.0	100	233093	418	0.9976076555023924	0	84.54	197055.0
42_R	CP052499.1	1	1432	14097	15528	0.0	2583.0	100.0	100	233093	1432	1.0	0	84.54	197055.0
19	CP052499.1	1	34901	15967	50867	0.0	62703.0	99.848	91	233093	38393	0.9090459198291356	0	84.54	197055.0
38	CP052499.1	1	2030	54498	56527	0.0	3644.0	99.803	100	233093	2030	1.0	0	84.54	197055.0
22_R	CP052499.1	1	21725	56528	78252	0.0	39179.0	100.0	100	233093	21725	1.0	0	84.54	197055.0
