qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases
39	AP026530.1	1	1688	160122	161809	0.0	2863.0	97.28	100	655459	1688	1.0	0
132_R	AP026530.1	1	104	161903	162006	1.8199999999999998e-45	187.0	99.038	100	655459	104	1.0	0
22_R	AP026741.1	3483	30494	1	27013	0.0	49495.0	99.741	84	33093	32098	0.8415477599850458	0
107	AP027374.1	65	129	22128	22191	2.13e-16	91.6	92.308	47	293186	139	0.4676258992805755	0
35_R	AP027406.1	1	2368	27604	29971	0.0	4368.0	99.958	84	61975	2828	0.8373408769448374	0
35_R	AP027410.1	1	2368	26369	28736	0.0	4362.0	99.916	84	60712	2828	0.8373408769448374	0
27	AP027529.1	2782	10862	19594	27673	0.0	14678.0	99.456	42	61509	19051	0.4241772085454832	0
35_R	AP027529.1	1	2828	37918	40745	0.0	5217.0	99.965	100	61509	2828	1.0	0
36	AP027720.1	302	2101	1	1800	0.0	3325.0	100.0	86	2101	2101	0.8567348881485007	0
22	AP027810.1	1	13085	20229	33315	0.0	24133.0	99.954	41	33315	32098	0.4076577979936445	0
22	AP027894.1	1	14312	19001	33315	0.0	26393.0	99.951	45	33315	32098	0.4458844787837248	0
39_R	CP008701.1	1	1688	183391	185079	0.0	2802.0	96.627	100	186323	1688	1.0	0
57_R	CP008701.1	1	523	185140	185662	0.0	922.0	98.47	100	186323	523	1.0	0
99	CP008701.1	1	50	185710	185760	3.26e-15	87.9	98.039	31	186323	159	0.3144654088050314	0
89	CP008701.1	2	207	185767	185972	4.08e-90	337.0	96.117	98	186323	210	0.9809523809523808	0
68	CP008701.1	1	347	185977	186323	3.0500000000000002e-148	531.0	94.253	100	186323	347	1.0	0
99	CP009763.1	2	49	1090293	1090340	9.12e-11	73.1	93.75	30	1936579	159	0.3018867924528302	0
89	CP009763.1	1	171	1090348	1090517	1.98e-58	231.0	91.228	81	1936579	210	0.8142857142857143	0
99	CP015851.1	2	49	1303817	1303864	9.12e-11	73.1	93.75	30	1907366	159	0.3018867924528302	0
89	CP015851.1	1	171	1303872	1304041	1.98e-58	231.0	91.228	81	1907366	210	0.8142857142857143	0
89_R	CP016555.1	40	210	694287	694456	1.98e-58	231.0	91.228	81	2075659	210	0.8142857142857143	0
89_R	CP016613.1	40	210	1511168	1511337	1.98e-58	231.0	91.228	81	2000873	210	0.8142857142857143	0
89_R	CP021449.1	40	210	1056970	1057139	1.98e-58	231.0	91.228	81	2066085	210	0.8142857142857143	0
89_R	CP022482.1	40	210	1905350	1905519	1.98e-58	231.0	91.228	81	1947245	210	0.8142857142857143	0
99	CP022756.1	2	49	1192424	1192471	9.12e-11	73.1	93.75	30	2061886	159	0.3018867924528302	0
89	CP022756.1	1	171	1192479	1192648	1.98e-58	231.0	91.228	81	2061886	210	0.8142857142857143	0
99	CP022766.1	2	49	1187102	1187149	9.12e-11	73.1	93.75	30	2063152	159	0.3018867924528302	0
89	CP022766.1	1	171	1187157	1187326	1.98e-58	231.0	91.228	81	2063152	210	0.8142857142857143	0
99	CP022769.1	2	49	1194855	1194902	9.12e-11	73.1	93.75	30	2071487	159	0.3018867924528302	0
89	CP022769.1	1	171	1194910	1195079	1.98e-58	231.0	91.228	81	2071487	210	0.8142857142857143	0
99	CP022773.1	2	49	909710	909757	9.12e-11	73.1	93.75	30	1781111	159	0.3018867924528302	0
89	CP022773.1	1	171	909765	909934	1.98e-58	231.0	91.228	81	1781111	210	0.8142857142857143	0
99	CP022779.1	2	49	1194844	1194891	9.12e-11	73.1	93.75	30	2082957	159	0.3018867924528302	0
89	CP022779.1	1	171	1194899	1195068	1.98e-58	231.0	91.228	81	2082957	210	0.8142857142857143	0
89_R	CP022781.1	40	210	848945	849114	1.98e-58	231.0	91.228	81	2134808	210	0.8142857142857143	0
99	CP022783.1	2	49	1122731	1122778	9.12e-11	73.1	93.75	30	2006167	159	0.3018867924528302	0
89	CP022783.1	1	171	1122786	1122955	1.98e-58	231.0	91.228	81	2006167	210	0.8142857142857143	0
99	CP022785.1	2	49	1098311	1098358	9.12e-11	73.1	93.75	30	1969688	159	0.3018867924528302	0
89	CP022785.1	1	171	1098366	1098535	1.98e-58	231.0	91.228	81	1969688	210	0.8142857142857143	0
99	CP022787.1	2	49	1145980	1146027	9.12e-11	73.1	93.75	30	2033766	159	0.3018867924528302	0
89	CP022787.1	1	171	1146035	1146204	1.98e-58	231.0	91.228	81	2033766	210	0.8142857142857143	0
99	CP022791.1	2	49	1154584	1154631	9.12e-11	73.1	93.75	30	2134747	159	0.3018867924528302	0
89	CP022791.1	1	171	1154639	1154808	1.98e-58	231.0	91.228	81	2134747	210	0.8142857142857143	0
99	CP022793.1	2	49	1117646	1117693	9.12e-11	73.1	93.75	30	1989056	159	0.3018867924528302	0
89	CP022793.1	1	171	1117701	1117870	1.98e-58	231.0	91.228	81	1989056	210	0.8142857142857143	0
99	CP022795.1	2	49	1119437	1119484	9.12e-11	73.1	93.75	30	2001855	159	0.3018867924528302	0
89	CP022795.1	1	171	1119492	1119661	1.98e-58	231.0	91.228	81	2001855	210	0.8142857142857143	0
99	CP023013.1	2	49	1116999	1117046	9.12e-11	73.1	93.75	30	1998341	159	0.3018867924528302	0
89	CP023013.1	1	171	1117054	1117222	9.21e-57	226.0	90.643	81	1998341	210	0.8142857142857143	0
89_R	CP023015.1	40	210	869773	869941	9.21e-57	226.0	90.643	81	2001669	210	0.8142857142857143	0
61	CP024975.1	167	432	79825	80090	4.15e-98	364.0	91.353	62	86835	432	0.6157407407407407	0
55	CP024975.1	1	556	80091	80645	0.0	749.0	91.007	100	86835	556	1.0	0
98	CP024975.1	1	162	80704	80865	1.88e-62	244.0	93.827	99	86835	163	0.9938650306748468	0
22_R	CP025875.1	15063	30494	17440	32863	0.0	27693.0	99.067	48	36521	32098	0.4807776185432114	0
22_R	CP025925.1	15063	30494	20243	35666	0.0	27693.0	99.067	48	36521	32098	0.4807776185432114	0
85	CP025986.1	76	152	992007	992083	1.04e-21	110.0	92.308	35	2212170	223	0.3452914798206278	0
85	CP025986.1	76	152	992475	992551	1.04e-21	110.0	92.308	35	2212170	223	0.3452914798206278	0
99	CP025986.1	2	49	1424339	1424386	9.12e-11	73.1	93.75	30	2212170	159	0.3018867924528302	0
89	CP025986.1	1	171	1424394	1424563	1.98e-58	231.0	91.228	81	2212170	210	0.8142857142857143	0
107	CP031752.1	65	129	99341	99404	4.58e-18	97.1	93.846	47	298364	139	0.4676258992805755	0
35_R	CP034400.1	1	2369	47560	49927	0.0	4362.0	99.916	84	61553	2828	0.8376944837340877	0
58	CP034701.1	301	506	6253	6458	2.3e-91	342.0	96.602	41	63881	506	0.4071146245059288	0
63	CP034701.1	2	429	6519	6948	0.0	715.0	96.744	99	63881	429	0.9976689976689976	0
90_R	CP034701.1	1	207	6950	7142	4.12e-70	270.0	91.304	100	63881	207	1.0	0
61	CP034701.1	2	432	17297	17727	8.139999999999999e-165	586.0	91.183	99	63881	432	0.9976851851851852	0
55	CP034701.1	1	556	17728	18283	0.0	806.0	92.832	100	63881	556	1.0	0
98	CP034701.1	1	163	18342	18504	1.12e-69	268.0	96.319	100	63881	163	1.0	0
58	CP034704.1	301	506	6252	6457	2.3e-91	342.0	96.602	41	63885	506	0.4071146245059288	0
63	CP034704.1	2	429	6518	6947	0.0	715.0	96.744	99	63885	429	0.9976689976689976	0
90_R	CP034704.1	1	207	6949	7141	4.12e-70	270.0	91.304	100	63885	207	1.0	0
61	CP034704.1	2	432	17297	17727	8.139999999999999e-165	586.0	91.183	99	63885	432	0.9976851851851852	0
55	CP034704.1	1	556	17728	18283	0.0	806.0	92.832	100	63885	556	1.0	0
98	CP034704.1	1	163	18342	18504	1.12e-69	268.0	96.319	100	63885	163	1.0	0
58	CP034724.1	301	506	6253	6458	2.3e-91	342.0	96.602	41	63881	506	0.4071146245059288	0
63	CP034724.1	2	429	6519	6948	0.0	715.0	96.744	99	63881	429	0.9976689976689976	0
90_R	CP034724.1	1	207	6950	7142	4.12e-70	270.0	91.304	100	63881	207	1.0	0
61	CP034724.1	2	432	17296	17726	8.139999999999999e-165	586.0	91.183	99	63881	432	0.9976851851851852	0
55	CP034724.1	1	556	17727	18282	0.0	806.0	92.832	100	63881	556	1.0	0
98	CP034724.1	1	163	18340	18502	1.12e-69	268.0	96.319	100	63881	163	1.0	0
22_R	CP035775.1	13441	27663	3702	17890	0.0	24201.0	97.424	44	42640	32098	0.4431117203564085	0
107	CP035931.1	63	133	494408	494478	5.88e-22	110.0	94.366	51	1024407	139	0.5107913669064749	0
89_R	CP035931.1	36	209	496912	497085	1.18e-60	239.0	91.379	83	1024407	210	0.8285714285714286	0
107	CP038202.1	65	129	290328	290391	2.13e-16	91.6	92.308	47	1464534	139	0.4676258992805755	0
35	CP039587.1	1	2828	2477	5304	0.0	5223.0	100.0	100	59143	2828	1.0	0
107	CP040041.1	63	133	17224	17294	5.88e-22	110.0	94.366	51	561419	139	0.5107913669064749	0
89_R	CP040041.1	36	209	19729	19901	1.98e-58	231.0	90.805	83	561419	210	0.8285714285714286	0
99_R	CP040041.1	108	159	19908	19958	1.96e-12	78.7	94.231	33	561419	159	0.3270440251572327	0
107	CP040041.1	63	133	49590	49660	5.88e-22	110.0	94.366	51	561419	139	0.5107913669064749	0
89_R	CP040041.1	36	209	52093	52266	2.56e-57	228.0	90.286	83	561419	210	0.8285714285714286	0
99_R	CP040041.1	108	159	52273	52324	1.17e-14	86.1	96.154	33	561419	159	0.3270440251572327	0
99	CP040042.1	1	52	2250	2300	1.96e-12	78.7	94.231	33	538712	159	0.3270440251572327	0
89	CP040042.1	2	172	2307	2475	9.21e-57	226.0	90.643	81	538712	210	0.8142857142857143	0
107_R	CP040042.1	7	71	4908	4972	5.88e-22	110.0	96.923	51	538712	139	0.4676258992805755	0
99	CP040042.1	1	52	475357	475408	1.17e-14	86.1	96.154	33	538712	159	0.3270440251572327	0
89	CP040042.1	2	172	475415	475586	1.18e-60	239.0	91.86	81	538712	210	0.8142857142857143	0
107_R	CP040042.1	7	71	478028	478092	5.88e-22	110.0	96.923	51	538712	139	0.4676258992805755	0
107	CP040042.1	63	133	528384	528454	5.88e-22	110.0	94.366	51	538712	139	0.5107913669064749	0
99_R	CP040042.1	108	159	531067	531117	1.96e-12	78.7	94.231	33	538712	159	0.3270440251572327	0
107_R	CP040048.1	7	71	643809	643873	5.88e-22	110.0	96.923	47	657699	139	0.4676258992805755	0
98_R	CP042439.1	1	163	14215	14377	1.12e-69	268.0	96.319	100	81966	163	1.0	0
55_R	CP042439.1	1	556	14436	14991	0.0	806.0	92.832	100	81966	556	1.0	0
61_R	CP042439.1	1	431	14992	15422	8.139999999999999e-165	586.0	91.183	99	81966	432	0.9976851851851852	0
90	CP042439.1	1	207	25578	25770	4.12e-70	270.0	91.304	100	81966	207	1.0	0
63_R	CP042439.1	1	428	25772	26201	0.0	715.0	96.744	99	81966	429	0.9976689976689976	0
58_R	CP042439.1	1	206	26262	26467	2.3e-91	342.0	96.602	41	81966	506	0.4071146245059288	0
22	CP042607.1	1	17033	13854	30881	0.0	31239.0	99.777	53	34525	32098	0.5306561156458346	0
61	CP042619.1	2	432	31440	31870	8.08e-170	603.0	91.879	99	100041	432	0.9976851851851852	0
55	CP042619.1	1	556	31871	32425	0.0	754.0	91.187	100	100041	556	1.0	0
98	CP042619.1	1	162	32484	32645	1.88e-62	244.0	93.827	99	100041	163	0.9938650306748468	0
61	CP042629.1	167	432	74826	75091	4.15e-98	364.0	91.353	62	149622	432	0.6157407407407407	0
55	CP042629.1	1	556	75092	75646	0.0	749.0	91.007	100	149622	556	1.0	0
98	CP042629.1	1	162	75705	75866	1.88e-62	244.0	93.827	99	149622	163	0.9938650306748468	0
36_R	CP042636.1	245	2101	1	1845	0.0	3253.0	98.391	88	2090	2101	0.8838648262732033	0
22	CP042647.1	4988	17033	13570	25622	0.0	21968.0	99.577	38	35009	32098	0.3752881799489064	0
27	CP043014.1	5275	10897	6178	11803	0.0	8264.0	93.212	30	49061	19051	0.2951551099679806	0
35_R	CP043014.1	1	2368	19593	21960	0.0	4362.0	99.916	84	49061	2828	0.8373408769448374	0
35	CP043017.1	455	2828	22374	24747	0.0	4362.0	99.832	84	57382	2828	0.8394625176803394	0
27_R	CP043017.1	8155	13777	32537	38162	0.0	8264.0	93.212	30	57382	19051	0.2951551099679806	0
35_R	CP044025.1	1	2368	14638	17004	0.0	4355.0	99.873	84	60688	2828	0.8373408769448374	0
128_R	CP044307.1	1	93	63162	63254	2.69e-39	167.0	98.925	82	149516	114	0.8157894736842105	0
107_R	CP049030.1	8	72	18413	18476	2.13e-16	91.6	92.308	47	352381	139	0.4676258992805755	0
99	CP049788.1	2	49	1043448	1043495	9.12e-11	73.1	93.75	30	2092665	159	0.3018867924528302	0
89	CP049788.1	1	171	1043503	1043672	1.98e-58	231.0	91.228	81	2092665	210	0.8142857142857143	0
89_R	CP049790.1	40	210	936387	936556	1.98e-58	231.0	91.228	81	2020199	210	0.8142857142857143	0
99	CP049792.1	2	49	1510428	1510475	9.12e-11	73.1	93.75	30	2013884	159	0.3018867924528302	0
89	CP049792.1	1	171	1510483	1510652	1.98e-58	231.0	91.228	81	2013884	210	0.8142857142857143	0
99	CP049794.1	2	49	1735267	1735314	9.12e-11	73.1	93.75	30	2020823	159	0.3018867924528302	0
89	CP049794.1	1	171	1735322	1735491	1.98e-58	231.0	91.228	81	2020823	210	0.8142857142857143	0
99	CP052069.1	2	49	1119552	1119599	9.12e-11	73.1	93.75	30	2000885	159	0.3018867924528302	0
89	CP052069.1	1	171	1119607	1119776	1.98e-58	231.0	91.228	81	2000885	210	0.8142857142857143	0
89_R	CP052071.1	40	210	1056211	1056380	1.98e-58	231.0	91.228	81	2074832	210	0.8142857142857143	0
89_R	CP052073.1	40	210	1056177	1056346	1.98e-58	231.0	91.228	81	2074622	210	0.8142857142857143	0
89_R	CP052075.1	40	210	1056178	1056347	1.98e-58	231.0	91.228	81	2074757	210	0.8142857142857143	0
99	CP052077.1	2	49	1099006	1099053	9.12e-11	73.1	93.75	30	1981426	159	0.3018867924528302	0
89	CP052077.1	1	171	1099061	1099230	1.98e-58	231.0	91.228	81	1981426	210	0.8142857142857143	0
99	CP052079.1	2	49	1099029	1099076	9.12e-11	73.1	93.75	30	1982075	159	0.3018867924528302	0
89	CP052079.1	1	171	1099084	1099253	1.98e-58	231.0	91.228	81	1982075	210	0.8142857142857143	0
99	CP052081.1	2	49	1099029	1099076	9.12e-11	73.1	93.75	30	1981451	159	0.3018867924528302	0
89	CP052081.1	1	171	1099084	1099253	1.98e-58	231.0	91.228	81	1981451	210	0.8142857142857143	0
99	CP052083.1	2	49	1099029	1099076	9.12e-11	73.1	93.75	30	1981451	159	0.3018867924528302	0
89	CP052083.1	1	171	1099084	1099253	1.98e-58	231.0	91.228	81	1981451	210	0.8142857142857143	0
99	CP052085.1	2	49	1177491	1177538	9.12e-11	73.1	93.75	30	1975650	159	0.3018867924528302	0
89	CP052085.1	1	171	1177546	1177715	1.98e-58	231.0	91.228	81	1975650	210	0.8142857142857143	0
99	CP052087.1	2	49	1177491	1177538	9.12e-11	73.1	93.75	30	1975963	159	0.3018867924528302	0
89	CP052087.1	1	171	1177546	1177715	1.98e-58	231.0	91.228	81	1975963	210	0.8142857142857143	0
99	CP052089.1	2	49	1177495	1177542	9.12e-11	73.1	93.75	30	1974854	159	0.3018867924528302	0
89	CP052089.1	1	171	1177550	1177719	1.98e-58	231.0	91.228	81	1974854	210	0.8142857142857143	0
99	CP052091.1	2	49	1205098	1205145	9.12e-11	73.1	93.75	30	2053896	159	0.3018867924528302	0
89	CP052091.1	1	171	1205153	1205322	1.98e-58	231.0	91.228	81	2053896	210	0.8142857142857143	0
99	CP052093.1	2	49	1205097	1205144	9.12e-11	73.1	93.75	30	2053891	159	0.3018867924528302	0
89	CP052093.1	1	171	1205152	1205321	1.98e-58	231.0	91.228	81	2053891	210	0.8142857142857143	0
99	CP052095.1	2	49	1205097	1205144	9.12e-11	73.1	93.75	30	2053891	159	0.3018867924528302	0
89	CP052095.1	1	171	1205152	1205321	1.98e-58	231.0	91.228	81	2053891	210	0.8142857142857143	0
99	CP052097.1	2	49	1205097	1205144	9.12e-11	73.1	93.75	30	2053891	159	0.3018867924528302	0
89	CP052097.1	1	171	1205152	1205321	1.98e-58	231.0	91.228	81	2053891	210	0.8142857142857143	0
99	CP052099.1	2	49	1205097	1205144	9.12e-11	73.1	93.75	30	2053891	159	0.3018867924528302	0
89	CP052099.1	1	171	1205152	1205321	1.98e-58	231.0	91.228	81	2053891	210	0.8142857142857143	0
99	CP052101.1	2	49	1205097	1205144	9.12e-11	73.1	93.75	30	2053891	159	0.3018867924528302	0
89	CP052101.1	1	171	1205152	1205321	1.98e-58	231.0	91.228	81	2053891	210	0.8142857142857143	0
89_R	CP052103.1	40	210	1056203	1056372	1.98e-58	231.0	91.228	81	2075688	210	0.8142857142857143	0
89_R	CP052105.1	40	210	1056179	1056348	1.98e-58	231.0	91.228	81	2075540	210	0.8142857142857143	0
89_R	CP052107.1	40	210	1056192	1056361	1.98e-58	231.0	91.228	81	2075635	210	0.8142857142857143	0
89_R	CP052109.1	40	210	1056192	1056361	1.98e-58	231.0	91.228	81	2075656	210	0.8142857142857143	0
89_R	CP052111.1	40	210	839711	839880	1.98e-58	231.0	91.228	81	2134027	210	0.8142857142857143	0
89_R	CP052113.1	40	210	839711	839880	1.98e-58	231.0	91.228	81	2134027	210	0.8142857142857143	0
89_R	CP052115.1	40	210	1056192	1056361	1.98e-58	231.0	91.228	81	2075660	210	0.8142857142857143	0
89_R	CP052117.1	40	210	1056181	1056350	1.98e-58	231.0	91.228	81	2075666	210	0.8142857142857143	0
89_R	CP052119.1	40	210	1056181	1056350	1.98e-58	231.0	91.228	81	2075489	210	0.8142857142857143	0
89_R	CP052121.1	40	210	1056181	1056350	1.98e-58	231.0	91.228	81	2075666	210	0.8142857142857143	0
99	CP052123.1	2	49	1099029	1099076	9.12e-11	73.1	93.75	30	1981451	159	0.3018867924528302	0
89	CP052123.1	1	171	1099084	1099253	1.98e-58	231.0	91.228	81	1981451	210	0.8142857142857143	0
99	CP052125.1	2	49	1099029	1099076	9.12e-11	73.1	93.75	30	1981451	159	0.3018867924528302	0
89	CP052125.1	1	171	1099084	1099253	1.98e-58	231.0	91.228	81	1981451	210	0.8142857142857143	0
99	CP052127.1	2	49	1177491	1177538	9.12e-11	73.1	93.75	30	1975651	159	0.3018867924528302	0
89	CP052127.1	1	171	1177546	1177715	1.98e-58	231.0	91.228	81	1975651	210	0.8142857142857143	0
89_R	CP052129.1	40	210	979870	980039	1.98e-58	231.0	91.228	81	2051206	210	0.8142857142857143	0
99	CP052131.1	2	49	1177490	1177537	9.12e-11	73.1	93.75	30	1975962	159	0.3018867924528302	0
89	CP052131.1	1	171	1177545	1177714	1.98e-58	231.0	91.228	81	1975962	210	0.8142857142857143	0
61	CP052139.1	2	432	129825	130255	8.08e-170	603.0	91.879	99	296094	432	0.9976851851851852	0
55	CP052139.1	1	556	130256	130811	0.0	784.0	92.115	100	296094	556	1.0	0
98	CP052139.1	1	162	130870	131031	4.04e-64	250.0	94.444	99	296094	163	0.9938650306748468	0
36	CP052212.1	1002	2101	1	1100	0.0	2032.0	100.0	100	2088	2101	0.5235602094240838	0
36	CP052212.1	1	1001	1101	2088	0.0	1753.0	98.503	100	2088	2101	0.4764397905759162	0
22	CP052790.1	1	22128	2752	24884	0.0	40485.0	99.688	69	36667	32098	0.6893887469624276	0
22	CP052800.1	4481	14469	25407	35379	0.0	16925.0	97.284	31	35379	32098	0.3112031902299209	0
128_R	CP054241.1	2	78	90860	90936	2.1099999999999998e-30	137.0	98.701	82	834193	114	0.6754385964912281	0
128_R	CP054241.1	1	93	99083	99175	2.69e-39	167.0	98.925	82	834193	114	0.8157894736842105	0
132	CP054241.1	1	103	99217	99319	1.41e-46	191.0	100.0	99	834193	104	0.9903846153846154	0
39_R	CP054241.1	1	1688	99421	101106	0.0	2839.0	97.043	100	834193	1688	1.0	0
57_R	CP054241.1	1	523	101167	101689	0.0	944.0	99.235	100	834193	523	1.0	0
99	CP054241.1	1	51	101737	101787	1.95e-17	95.3	100.0	32	834193	159	0.320754716981132	0
89	CP054241.1	1	210	101794	102002	1.88e-93	348.0	96.698	100	834193	210	1.0	0
68	CP054241.1	1	347	102004	102350	2.97e-168	597.0	97.695	100	834193	347	1.0	0
130_R	CP054241.1	2	108	102505	102613	1.16e-37	161.0	93.636	99	834193	108	0.9907407407407408	0
114	CP054241.1	1	131	102634	102763	8.68e-55	219.0	96.947	100	834193	131	1.0	0
43	CP054241.1	1	1475	102770	104244	0.0	2514.0	97.425	100	834193	1475	1.0	0
107_R	CP054241.1	1	139	104246	104387	5.56e-62	243.0	97.887	100	834193	139	1.0	0
134_R	CP054241.1	1	100	104523	104623	6.26e-40	169.0	97.03	100	834193	100	1.0	0
36	CP054324.1	993	2101	1	1109	0.0	2049.0	100.0	100	2113	2101	0.5278438838648263	0
36	CP054324.1	1	992	1110	2113	0.0	1766.0	98.607	100	2113	2101	0.4721561161351737	0
36_R	CP054341.1	968	2101	1	1121	0.0	1999.0	98.678	100	2088	2101	0.5397429795335554	0
36_R	CP054341.1	1	967	1122	2088	0.0	1786.0	100.0	100	2088	2101	0.4602570204664445	0
36	CP054463.1	1	2003	99	2100	0.0	3681.0	99.85	95	2100	2101	0.9533555449785815	0
98_R	CP055625.1	2	163	28323	28484	1.88e-62	244.0	93.827	99	119408	163	0.9938650306748468	0
55_R	CP055625.1	1	553	28543	29094	0.0	749.0	91.139	99	119408	556	0.9946043165467626	0
61_R	CP055625.1	1	266	29098	29363	4.15e-98	364.0	91.353	62	119408	432	0.6157407407407407	0
98_R	CP055749.1	1	163	34507	34669	5.23e-63	246.0	93.865	100	153833	163	1.0	0
55_R	CP055749.1	173	553	34818	35198	3.04e-145	521.0	91.339	69	153833	556	0.685251798561151	0
61_R	CP055749.1	2	431	35203	35629	8.139999999999999e-165	586.0	91.395	99	153833	432	0.9953703703703703	0
98	CP055750.1	97	163	17754	17820	2.58e-21	108.0	95.522	41	105374	163	0.4110429447852761	0
99	CP056084.1	2	49	1119552	1119599	9.12e-11	73.1	93.75	30	2000885	159	0.3018867924528302	0
89	CP056084.1	1	171	1119607	1119776	1.98e-58	231.0	91.228	81	2000885	210	0.8142857142857143	0
89_R	CP056086.1	40	210	112558	112726	9.21e-57	226.0	90.643	81	2000795	210	0.8142857142857143	0
98_R	CP056243.1	1	163	19359	19521	1.1399999999999999e-54	219.0	90.798	100	108567	163	1.0	0
98	CP056243.1	1	159	33798	33956	1.89e-57	228.0	92.453	100	108567	163	0.9754601226993864	0
36_R	CP056408.1	1	1560	542	2089	0.0	2798.0	99.167	74	2089	2101	0.7425035697287006	0
36_R	CP056791.1	1226	2101	1	863	0.0	1522.0	98.29	100	2088	2101	0.4169443122322703	0
36_R	CP056791.1	1	1225	864	2088	0.0	2263.0	100.0	100	2088	2101	0.5830556877677296	0
35_R	CP056923.1	1	2368	26366	28733	0.0	4346.0	99.789	84	59767	2828	0.8373408769448374	0
35_R	CP056930.1	1	2368	26370	28737	0.0	4346.0	99.789	84	59771	2828	0.8373408769448374	0
98_R	CP056934.1	1	163	19361	19523	1.1399999999999999e-54	219.0	90.798	100	109231	163	1.0	0
98	CP056934.1	1	159	33879	34037	1.89e-57	228.0	92.453	100	109231	163	0.9754601226993864	0
61	CP056987.1	2	432	4792	5222	0.0	647.0	93.735	99	134620	432	0.9976851851851852	0
55	CP056987.1	1	302	5223	5524	1.13e-119	436.0	92.715	100	134620	556	0.5431654676258992	0
55	CP056987.1	301	556	7350	7606	8.95e-106	390.0	94.163	100	134620	556	0.460431654676259	0
98	CP056987.1	1	162	7665	7826	4.02e-69	267.0	96.296	100	134620	163	0.9938650306748468	0
98_R	CP056987.1	1	163	27002	27164	1.12e-69	268.0	96.319	100	134620	163	1.0	0
55_R	CP056987.1	1	556	27223	27778	0.0	822.0	93.345	100	134620	556	1.0	0
61_R	CP056987.1	1	431	27779	28209	0.0	647.0	93.735	99	134620	432	0.9976851851851852	0
98	CP057013.1	1	159	13895	14053	1.89e-57	228.0	92.453	98	89908	163	0.9754601226993864	0
98	CP057015.1	1	159	13895	14053	1.89e-57	228.0	92.453	98	89908	163	0.9754601226993864	0
98	CP057017.1	1	159	13895	14053	1.89e-57	228.0	92.453	98	89908	163	0.9754601226993864	0
98	CP057023.1	1	159	13895	14053	1.89e-57	228.0	92.453	98	89908	163	0.9754601226993864	0
98	CP057025.1	1	159	13895	14053	1.89e-57	228.0	92.453	98	89908	163	0.9754601226993864	0
98	CP057027.1	1	159	13895	14053	1.89e-57	228.0	92.453	98	89908	163	0.9754601226993864	0
98_R	CP057029.1	2	160	76478	76636	1.89e-57	228.0	92.453	98	102805	163	0.9754601226993864	0
98	CP057039.1	1	159	13512	13670	1.89e-57	228.0	92.453	98	77977	163	0.9754601226993864	0
61	CP057076.1	164	432	116624	116893	4.15e-98	364.0	91.111	62	123830	432	0.6226851851851852	0
55	CP057076.1	1	556	116894	117448	0.0	754.0	91.187	100	123830	556	1.0	0
98	CP057076.1	1	162	117507	117668	1.88e-62	244.0	93.827	99	123830	163	0.9938650306748468	0
61	CP057088.1	167	432	32716	32981	4.15e-98	364.0	91.353	62	140512	432	0.6157407407407407	0
